,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
71,71,71,71,71,71,2020,1B,2B,Stolen Base 2B,664056,Harrison Bader,592716,Adrian Sampson,663457,Lars Nootbaar,R,Willson Contreras,575929,4,2,5,True,2021-09-25,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
72,72,72,72,72,72,2021,2B,3B,Stolen Base 3B,664056,Harrison Bader,667297,Tommy Nance,663457,Lars Nootbaar,R,Willson Contreras,575929,4,6,9,True,2021-09-25,Stolen,3B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
73,73,73,73,73,73,2268,1B,,Caught Stealing 2B,664056,Harrison Bader,669952,Mitch White,425794,Adam Wainwright,R,Will Smith,669257,3,1,2,False,2021-09-08,Caught,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
74,74,74,74,74,74,2669,1B,,Caught Stealing 2B,664056,Harrison Bader,641745,Brad Keller,624641,Edmundo Sosa,R,Salvador Perez,521692,1,2,7,True,2021-08-14,Caught,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
75,75,75,75,75,75,2946,2B,3B,Stolen Base 3B,664056,Harrison Bader,664208,Phil Maton,657557,Paul DeJong,R,Roberto Pérez,547379,2,3,9,True,2021-07-27,Stolen,3B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
76,76,76,76,76,76,3174,1B,2B,Stolen Base 2B,664056,Harrison Bader,605200,Zach Davies,657557,Paul DeJong,R,Willson Contreras,575929,0,1,4,True,2021-07-10,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
77,77,77,77,77,77,3259,2B,3B,Stolen Base 3B,664056,Harrison Bader,608566,Germán Márquez,668800,Andrew Knizner,R,Elias Díaz,553869,1,2,4,True,2021-07-04,Stolen,3B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
78,78,78,78,78,78,4007,1B,2B,Stolen Base 2B,664056,Harrison Bader,502239,Trevor Cahill,642211,Justin Williams,R,Michael Pérez,605421,1,0,2,False,2021-05-19,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
79,79,79,79,79,79,4109,1B,,Caught Stealing 2B,664056,Harrison Bader,605540,Brandon Woodruff,572761,Matt Carpenter,R,Manny Piña,444489,1,1,8,True,2021-05-12,Caught,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
80,80,80,80,80,80,4227,1B,2B,Stolen Base 2B,664056,Harrison Bader,573186,Marcus Stroman,572761,Matt Carpenter,R,James McCann,543510,2,1,4,False,2021-05-05,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
