,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year,Sprint
43,43,43,43,43,43,43,43,43,2B,3B,Stolen Base 3B,602104,Ramón Urías,547973,Aroldis Chapman,656775,Cedric Mullins,L,Freddy Fermin,666023,9,10,8,True,2023-05-04,Stolen,3B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
44,44,44,44,44,44,44,44,44,1B,2B,Stolen Base 2B,543510,James McCann,622251,Josh Staumont,668939,Adley Rutschman,R,Freddy Fermin,666023,9,13,9,True,2023-05-04,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
45,45,45,45,45,45,45,45,45,1B,,Caught Stealing 2B,682998,Corbin Carroll,642232,Ryan Yarbrough,605113,Nick Ahmed,L,Freddy Fermin,666023,0,0,2,False,2023-04-26,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
46,46,46,46,46,46,46,46,46,1B,2B,Stolen Base 2B,668942,Josh Rojas,679525,Alec Marsh,641487,J.P. Crawford,R,Freddy Fermin,666023,1,0,5,False,2023-08-27,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
47,47,47,47,47,47,47,47,47,2B,3B,Stolen Base 3B,665923,Esteury Ruiz,656353,Tucker Davidson,649557,Aledmys Díaz,L,Freddy Fermin,666023,0,0,1,False,2023-08-21,Stolen,3B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
48,48,48,48,48,48,48,48,48,1B,2B,Stolen Base 2B,663538,Nico Hoerner,663903,Brady Singer,664023,Ian Happ,R,Freddy Fermin,666023,0,0,1,False,2023-08-19,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
49,49,49,49,49,49,49,49,49,2B,3B,Stolen Base 3B,663538,Nico Hoerner,663903,Brady Singer,621020,Dansby Swanson,R,Freddy Fermin,666023,6,1,4,False,2023-08-19,Stolen,3B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
50,50,50,50,50,50,50,50,50,1B,2B,Stolen Base 2B,664023,Ian Happ,663903,Brady Singer,621020,Dansby Swanson,R,Freddy Fermin,666023,6,1,4,False,2023-08-19,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
51,51,51,51,51,51,51,51,51,3B,,Caught Stealing Home,666624,Christopher Morel,666142,Cole Ragans,664023,Ian Happ,L,Freddy Fermin,666023,3,2,4,False,2023-08-18,Caught,Home,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
52,52,52,52,52,52,52,52,52,1B,2B,Stolen Base 2B,687799,Cade Marlowe,666721,Max Castillo,686527,Dominic Canzone,R,Freddy Fermin,666023,1,1,6,True,2023-08-17,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
