,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
1168,1B,2B,Stolen Base 2B,543305,Aaron Hicks,521230,Liam Hendriks,650402,Gleyber Torres,R,Yasmani Grandal,518735,2,1,8,True,2022-05-14,Stolen,2B
1294,1B,2B,Stolen Base 2B,543305,Aaron Hicks,657248,Glenn Otto,519203,Anthony Rizzo,R,Jonah Heim,641680,0,0,1,False,2022-05-08,Stolen,2B
1296,1B,2B,Stolen Base 2B,543305,Aaron Hicks,657248,Glenn Otto,592450,Aaron Judge,R,Jonah Heim,641680,0,0,3,False,2022-05-08,Stolen,2B
1333,1B,2B,Stolen Base 2B,543305,Aaron Hicks,657248,Glenn Otto,519203,Anthony Rizzo,R,Jonah Heim,641680,0,0,1,False,2022-05-06,Stolen,2B
1335,1B,2B,Stolen Base 2B,543305,Aaron Hicks,657248,Glenn Otto,592450,Aaron Judge,R,Jonah Heim,641680,0,0,3,False,2022-05-06,Stolen,2B
1390,1B,,Caught Stealing 2B,543305,Aaron Hicks,666201,Alek Manoah,592450,Aaron Judge,R,Alejandro Kirk,672386,1,1,6,True,2022-05-03,Caught,2B
1531,1B,2B,Stolen Base 2B,543305,Aaron Hicks,656529,Sam Hentges,608336,Joey Gallo,L,Bryan Lavastida,681526,6,0,5,False,2022-04-24,Stolen,2B
1627,1B,2B,Stolen Base 2B,543305,Aaron Hicks,641729,Joe Jiménez,592450,Aaron Judge,R,Dustin Garneau,572863,2,3,9,True,2022-04-19,Stolen,2B
1676,2B,,Caught Stealing 3B,543305,Aaron Hicks,669330,Tyler Wells,519203,Anthony Rizzo,R,Anthony Bemboom,621532,0,0,1,True,2022-04-16,Caught,3B
4794,1B,2B,Stolen Base 2B,543305,Aaron Hicks,570632,José Ureña,572228,Luke Voit,R,Chad Wallach,595453,0,0,1,False,2020-09-27,Stolen,2B
4897,1B,2B,Stolen Base 2B,543305,Aaron Hicks,641672,Thomas Hatch,572228,Luke Voit,R,Alejandro Kirk,672386,1,6,5,True,2020-09-22,Stolen,2B
5175,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592836,Taijuan Walker,640449,Clint Frazier,R,Danny Jansen,643376,2,0,3,True,2020-09-08,Stolen,2B
5176,2B,,Caught Stealing 3B,543305,Aaron Hicks,592836,Taijuan Walker,650402,Gleyber Torres,R,Danny Jansen,643376,2,0,3,True,2020-09-08,Caught,3B
5276,1B,2B,Stolen Base 2B,543305,Aaron Hicks,612434,Miguel Castro,645801,Mike Ford,R,Wilson Ramos,467092,4,4,7,True,2020-09-03,Stolen,2B
5471,1B,2B,Stolen Base 2B,543305,Aaron Hicks,612434,Miguel Castro,645801,Mike Ford,R,Wilson Ramos,467092,4,4,7,True,2020-08-23,Stolen,2B
7325,1B,,Caught Stealing 2B,543305,Aaron Hicks,543208,Sam Gaviglio,596142,Gary Sánchez,R,Danny Jansen,643376,4,0,7,False,2019-07-12,Caught,2B
7777,2B,3B,Stolen Base 3B,543305,Aaron Hicks,521655,Wilmer Font,544369,Didi Gregorius,R,Tomás Nido,621512,9,5,6,False,2019-06-11,Stolen,3B
7778,2B,3B,Stolen Base 3B,543305,Aaron Hicks,521655,Wilmer Font,544369,Didi Gregorius,R,Tomás Nido,621512,9,5,6,False,2019-06-10,Stolen,3B
7916,3B,,Caught Stealing Home,543305,Aaron Hicks,456034,David Price,640449,Clint Frazier,L,Christian Vázquez,543877,2,3,4,False,2019-06-02,Caught,Home
23,2B,3B,Stolen Base 3B,543305,Aaron Hicks,444468,Héctor Rondón,544369,Didi Gregorius,R,Max Stassi,545358,0,3,8,True,2018-05-02,Stolen,3B
49,1B,2B,Stolen Base 2B,543305,Aaron Hicks,501789,Will Harris,609280,Miguel Andujar,R,Brian McCann,435263,0,3,9,True,2018-05-01,Stolen,2B
236,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592130,Danny Barnes,544369,Didi Gregorius,R,Russell Martin,431145,5,1,7,False,2018-04-22,Stolen,2B
291,1B,,Caught Stealing 2B,543305,Aaron Hicks,446099,John Axford,435522,Neil Walker,R,Luke Maile,571912,4,3,8,False,2018-04-19,Caught,2B
675,1B,2B,Stolen Base 2B,543305,Aaron Hicks,607352,Joe Biagini,453056,Jacoby Ellsbury,R,Raffy Lopez,607257,2,0,5,False,2017-09-29,Stolen,2B
727,1B,2B,Stolen Base 2B,543305,Aaron Hicks,605483,Blake Snell,596142,Gary Sánchez,L,Wilson Ramos,467092,0,1,1,False,2017-09-26,Stolen,2B
1536,1B,2B,Stolen Base 2B,543305,Aaron Hicks,519242,Chris Sale,453943,Todd Frazier,L,Christian Vázquez,543877,1,1,6,False,2017-08-13,Stolen,2B
2470,1B,,Caught Stealing 2B,543305,Aaron Hicks,445060,Ricky Nolasco,592450,Aaron Judge,R,Martín Maldonado,455117,2,2,5,False,2017-06-21,Caught,2B
2952,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592811,Andrew Triggs,474892,Chris Carter,R,Josh Phegley,572033,6,2,4,False,2017-05-28,Stolen,2B
2953,1B,,Caught Stealing 2B,543305,Aaron Hicks,592811,Andrew Triggs,474892,Chris Carter,R,Josh Phegley,572033,6,3,6,False,2017-05-28,Caught,2B
3276,1B,2B,Stolen Base 2B,543305,Aaron Hicks,606965,Chris Devenski,474892,Chris Carter,R,Brian McCann,435263,1,3,7,False,2017-05-11,Stolen,2B
3338,2B,3B,Stolen Base 3B,543305,Aaron Hicks,452657,Jon Lester,516770,Starlin Castro,L,Willson Contreras,575929,0,1,1,True,2017-05-07,Stolen,3B
