,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
83,1B,2B,Stolen Base 2B,592885,Christian Yelich,518516,Madison Bumgarner,460075,Ryan Braun,L,Buster Posey,457763,1,1,5,False,2019-07-13,Stolen,2B,2019,2021,27.5
84,2B,3B,Stolen Base 3B,592885,Christian Yelich,518516,Madison Bumgarner,519058,Mike Moustakas,L,Buster Posey,457763,1,1,5,False,2019-07-13,Stolen,3B,2019,2021,27.5
85,1B,2B,Stolen Base 2B,460075,Ryan Braun,518516,Madison Bumgarner,519058,Mike Moustakas,L,Buster Posey,457763,1,1,5,False,2019-07-13,Stolen,2B,2019,2021,27.5
86,1B,,Caught Stealing 2B,456715,Lorenzo Cain,641312,Shaun Anderson,592885,Christian Yelich,R,Buster Posey,457763,1,0,3,False,2019-07-12,Caught,2B,2019,2021,27.5
87,3B,score,Stolen Base Home,500871,Eduardo Escobar,595881,Tyler Beede,605113,Nick Ahmed,R,Buster Posey,457763,3,0,1,False,2019-06-22,Stolen,Home,2019,2021,27.5
88,1B,2B,Stolen Base 2B,572233,Christian Walker,595881,Tyler Beede,605113,Nick Ahmed,R,Buster Posey,457763,3,0,1,False,2019-06-22,Stolen,2B,2019,2021,27.5
89,1B,2B,Stolen Base 2B,571771,Enrique Hernández,518516,Madison Bumgarner,501896,David Freese,L,Buster Posey,457763,0,0,1,False,2019-06-20,Stolen,2B,2019,2021,27.5
90,2B,3B,Stolen Base 3B,571771,Enrique Hernández,518516,Madison Bumgarner,571970,Max Muncy,L,Buster Posey,457763,1,0,1,False,2019-06-20,Stolen,3B,2019,2021,27.5
91,1B,2B,Stolen Base 2B,519346,Eric Thames,502188,Jeff Samardzija,543768,Travis Shaw,R,Buster Posey,457763,2,2,3,True,2019-06-16,Stolen,2B,2019,2021,27.5
92,1B,2B,Stolen Base 2B,456715,Lorenzo Cain,519141,Drew Pomeranz,592885,Christian Yelich,L,Buster Posey,457763,2,2,5,True,2019-06-14,Stolen,2B,2019,2021,27.5
93,1B,2B,Stolen Base 2B,592885,Christian Yelich,519141,Drew Pomeranz,518735,Yasmani Grandal,L,Buster Posey,457763,2,2,5,True,2019-06-14,Stolen,2B,2019,2021,27.5
94,1B,2B,Stolen Base 2B,542340,Jonathan Villar,519141,Drew Pomeranz,641820,Trey Mancini,L,Buster Posey,457763,8,6,2,False,2019-05-31,Stolen,2B,2019,2021,27.5
95,2B,3B,Stolen Base 3B,542340,Jonathan Villar,519141,Drew Pomeranz,641820,Trey Mancini,L,Buster Posey,457763,8,6,2,False,2019-05-31,Stolen,3B,2019,2021,27.5
96,1B,2B,Stolen Base 2B,605113,Nick Ahmed,641312,Shaun Anderson,608348,Carson Kelly,R,Buster Posey,457763,1,2,2,True,2019-05-26,Stolen,2B,2019,2021,27.5
97,1B,2B,Stolen Base 2B,621020,Dansby Swanson,606625,Reyes Moronta,518626,Josh Donaldson,R,Buster Posey,457763,4,4,13,True,2019-05-23,Stolen,2B,2019,2021,27.5
98,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,606625,Reyes Moronta,621020,Dansby Swanson,R,Buster Posey,457763,1,2,7,True,2019-05-21,Stolen,2B,2019,2021,27.5
99,1B,,Caught Stealing 2B,660670,Ronald Acuña Jr.,641627,Trevor Gott,621020,Dansby Swanson,R,Buster Posey,457763,1,3,9,True,2019-05-21,Caught,2B,2019,2021,27.5
100,1B,,Caught Stealing 2B,663586,Austin Riley,605498,Andrew Suárez,452095,Tyler Flowers,L,Buster Posey,457763,0,1,2,True,2019-05-20,Caught,2B,2019,2021,27.5
101,1B,2B,Stolen Base 2B,448602,Mark Reynolds,502188,Jeff Samardzija,547172,Tony Wolters,R,Buster Posey,457763,0,12,3,False,2019-05-08,Stolen,2B,2019,2021,27.5
102,1B,2B,Stolen Base 2B,669222,Nick Senzel,641627,Trevor Gott,578428,Jose Iglesias,R,Buster Posey,457763,4,4,6,False,2019-05-05,Stolen,2B,2019,2021,27.5
103,1B,2B,Stolen Base 2B,642165,Josh VanMeter,606625,Reyes Moronta,571466,Tucker Barnhart,R,Buster Posey,457763,4,4,7,False,2019-05-05,Stolen,2B,2019,2021,27.5
104,1B,2B,Stolen Base 2B,641355,Cody Bellinger,518516,Madison Bumgarner,431145,Russell Martin,L,Buster Posey,457763,1,1,6,True,2019-05-01,Stolen,2B,2019,2021,27.5
105,2B,3B,Stolen Base 3B,621035,Chris Taylor,606625,Reyes Moronta,571771,Enrique Hernández,R,Buster Posey,457763,1,1,7,True,2019-05-01,Stolen,3B,2019,2021,27.5
106,1B,2B,Stolen Base 2B,657077,Alex Verdugo,606625,Reyes Moronta,608369,Corey Seager,R,Buster Posey,457763,1,1,7,True,2019-05-01,Stolen,2B,2019,2021,27.5
107,1B,2B,Stolen Base 2B,518934,DJ LeMahieu,502706,Derek Holland,572228,Luke Voit,L,Buster Posey,457763,0,1,3,True,2019-04-27,Stolen,2B,2019,2021,27.5
108,1B,2B,Stolen Base 2B,543776,JB Shuck,518516,Madison Bumgarner,570481,Erik González,L,Buster Posey,457763,4,0,1,False,2019-04-19,Stolen,2B,2019,2021,27.5
109,1B,2B,Stolen Base 2B,645302,Victor Robles,664157,Travis Bergen,543685,Anthony Rendon,L,Buster Posey,457763,4,2,7,False,2019-04-17,Stolen,2B,2019,2021,27.5
110,1B,,Caught Stealing 2B,572821,Brian Dozier,605446,Dereck Rodríguez,665742,Juan Soto,R,Buster Posey,457763,1,0,3,False,2019-04-16,Caught,2B,2019,2021,27.5
111,1B,,Caught Stealing 2B,645302,Victor Robles,605446,Dereck Rodríguez,594809,Adam Eaton,R,Buster Posey,457763,1,3,5,False,2019-04-16,Caught,2B,2019,2021,27.5
112,1B,,Caught Stealing 2B,606132,Raimel Tapia,543883,Nick Vincent,547172,Tony Wolters,R,Buster Posey,457763,0,4,9,True,2019-04-14,Caught,2B,2019,2021,27.5
113,1B,,Caught Stealing 2B,571976,Wil Myers,502706,Derek Holland,592518,Manny Machado,L,Buster Posey,457763,0,0,1,True,2019-04-09,Caught,2B,2019,2021,27.5
114,1B,2B,Stolen Base 2B,622534,Manuel Margot,473879,Sam Dyson,435079,Ian Kinsler,R,Buster Posey,457763,5,6,9,True,2019-04-08,Stolen,2B,2019,2021,27.5
115,2B,3B,Caught Stealing 2B,622534,Manuel Margot,473879,Sam Dyson,649966,Luis Urías,R,Buster Posey,457763,5,6,9,True,2019-04-08,Caught,2B,2019,2021,27.5
116,1B,,Caught Stealing 2B,435079,Ian Kinsler,473879,Sam Dyson,649966,Luis Urías,R,Buster Posey,457763,5,6,9,True,2019-04-08,Caught,2B,2019,2021,27.5
117,1B,2B,Stolen Base 2B,595281,Kevin Kiermaier,473879,Sam Dyson,621002,Daniel Robertson,R,Buster Posey,457763,6,3,6,True,2019-04-06,Stolen,2B,2019,2021,27.5
118,1B,,Caught Stealing 2B,621573,Austin Dean,518516,Madison Bumgarner,667498,Robert Dugger,L,Buster Posey,457763,0,0,3,True,2019-09-14,Caught,2B,2019,2021,27.5
119,1B,,Caught Stealing 2B,642423,Magneuris Sierra,595881,Tyler Beede,623912,Harold Ramírez,R,Buster Posey,457763,1,0,7,True,2019-09-13,Caught,2B,2019,2021,27.5
120,1B,2B,Stolen Base 2B,668804,Bryan Reynolds,502188,Jeff Samardzija,592567,Colin Moran,R,Buster Posey,457763,0,3,5,True,2019-09-12,Stolen,2B,2019,2021,27.5
121,1B,,Caught Stealing 2B,596012,Kevin Kramer,502188,Jeff Samardzija,607732,Jacob Stallings,R,Buster Posey,457763,0,3,6,True,2019-09-12,Caught,2B,2019,2021,27.5
