,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
5085,1B,2B,Stolen Base 2B,621563,Joey Wendle,607391,Chris Mazza,663993,Nathaniel Lowe,R,Kevin Plawecki,608700,4,2,6,False,2020-09-12,Stolen,2B
5110,2B,3B,Stolen Base 3B,621563,Joey Wendle,664180,Matt Hall,595281,Kevin Kiermaier,L,Christian Vázquez,543877,2,0,3,False,2020-09-11,Stolen,3B
5196,1B,2B,Stolen Base 2B,621563,Joey Wendle,453286,Max Scherzer,596847,Ji Man Choi,R,Kurt Suzuki,435559,1,0,3,True,2020-09-07,Stolen,2B
5261,1B,2B,Stolen Base 2B,621563,Joey Wendle,641154,Pablo López,640457,Austin Meadows,R,Jorge Alfaro,595751,1,2,4,False,2020-09-04,Stolen,2B
5524,1B,,Caught Stealing 2B,621563,Joey Wendle,542914,Anthony Bass,622534,Manuel Margot,R,Danny Jansen,643376,4,4,8,False,2020-08-21,Caught,2B
5655,1B,2B,Stolen Base 2B,621563,Joey Wendle,543699,Tanner Roark,660294,Yoshi Tsutsugo,R,Danny Jansen,643376,0,2,1,True,2020-08-14,Stolen,2B
5811,1B,2B,Stolen Base 2B,621563,Joey Wendle,570488,Phillips Valdez,592669,Hunter Renfroe,R,Christian Vázquez,543877,4,1,6,False,2020-08-04,Stolen,2B
6237,1B,2B,Stolen Base 2B,621563,Joey Wendle,657571,Caleb Ferguson,642715,Willy Adames,L,Will Smith,669257,0,1,2,True,2019-09-17,Stolen,2B
6444,1B,,Caught Stealing 2B,621563,Joey Wendle,453329,Clay Buchholz,640457,Austin Meadows,R,Danny Jansen,643376,3,0,2,False,2019-09-06,Caught,2B
6492,2B,3B,Stolen Base 3B,621563,Joey Wendle,612434,Miguel Castro,502054,Tommy Pham,R,Austin Wynns,642851,2,0,8,False,2019-09-03,Stolen,3B
6495,1B,2B,Stolen Base 2B,621563,Joey Wendle,542888,Shawn Armstrong,572287,Mike Zunino,R,Chance Sisco,642082,2,3,7,False,2019-09-03,Stolen,2B
6527,1B,2B,Stolen Base 2B,621563,Joey Wendle,592644,Adam Plutko,642715,Willy Adames,R,Eric Haase,606992,1,0,1,False,2019-09-01,Stolen,2B
7169,1B,,Caught Stealing 2B,621563,Joey Wendle,608337,Lucas Giolito,642715,Willy Adames,R,James McCann,543510,0,0,3,False,2019-07-20,Caught,2B
