,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
46,46,46,1B,2B,Stolen Base 2B,572122,Kyle Seager,659275,Dinelson Lamet,592530,José Marmolejos,R,Austin Hedges,595978,0,2,4,True,2020-08-27,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
47,47,47,1B,2B,Stolen Base 2B,641584,Jake Fraley,659275,Dinelson Lamet,643418,Shed Long Jr.,R,Austin Hedges,595978,0,3,4,True,2020-08-27,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
48,48,48,1B,2B,Stolen Base 2B,643418,Shed Long Jr.,659275,Dinelson Lamet,641929,Joseph Odom,R,Austin Hedges,595978,0,3,4,True,2020-08-27,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
49,49,49,1B,2B,Stolen Base 2B,664059,Sam Haggerty,489334,Craig Stammen,641786,Kyle Lewis,R,Austin Hedges,595978,3,5,7,True,2020-08-27,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
50,50,50,1B,2B,Stolen Base 2B,641487,J.P. Crawford,670280,David Bednar,664059,Sam Haggerty,R,Austin Hedges,595978,3,7,7,True,2020-08-26,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
51,51,51,1B,2B,Stolen Base 2B,664059,Sam Haggerty,663978,Chris Paddack,572122,Kyle Seager,R,Austin Hedges,595978,0,4,2,True,2020-08-25,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
52,52,52,1B,2B,Stolen Base 2B,664702,Myles Straw,572070,Garrett Richards,543807,George Springer,R,Austin Hedges,595978,1,1,2,True,2020-08-21,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
53,53,53,1B,2B,Stolen Base 2B,663656,Kyle Tucker,642770,Javy Guerra,622100,Taylor Jones,R,Austin Hedges,595978,1,1,3,True,2020-08-21,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
54,54,54,1B,,Caught Stealing 2B,664702,Myles Straw,572955,Pierce Johnson,455117,Martín Maldonado,R,Austin Hedges,595978,4,3,8,True,2020-08-21,Caught,2B,2020,2021,28.4,2021,28.4,2021,28.4
55,55,55,1B,2B,Stolen Base 2B,542454,Danny Santana,659275,Dinelson Lamet,608336,Joey Gallo,R,Austin Hedges,595978,0,0,1,True,2020-08-20,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
56,56,56,2B,,Caught Stealing 3B,643396,Isiah Kiner-Falefa,663978,Chris Paddack,641432,Willie Calhoun,R,Austin Hedges,595978,2,1,5,True,2020-08-19,Caught,3B,2020,2021,28.4,2021,28.4,2021,28.4
57,57,57,2B,3B,Stolen Base 3B,595981,Scott Heineman,489334,Craig Stammen,425772,Jeff Mathis,R,Austin Hedges,595978,4,6,4,False,2020-08-18,Stolen,3B,2020,2021,28.4,2021,28.4,2021,28.4
58,58,58,1B,2B,Stolen Base 2B,606466,Ketel Marte,572070,Garrett Richards,516782,Starling Marte,R,Austin Hedges,595978,2,0,5,False,2020-08-16,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
59,59,59,2B,,Caught Stealing 3B,572041,AJ Pollock,663978,Chris Paddack,571970,Max Muncy,R,Austin Hedges,595978,6,2,3,False,2020-08-13,Caught,3B,2020,2021,28.4,2021,28.4,2021,28.4
60,60,60,1B,2B,Stolen Base 2B,596103,Austin Slater,621381,Matt Strahm,644433,Chadwick Tromp,L,Austin Hedges,595978,6,6,8,False,2020-07-29,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
61,61,61,2B,,Caught Stealing 3B,516782,Starling Marte,621381,Matt Strahm,594777,Kole Calhoun,L,Austin Hedges,595978,3,1,6,True,2020-07-25,Caught,3B,2020,2021,28.4,2021,28.4,2021,28.4
62,62,62,2B,,Caught Stealing 3B,545361,Mike Trout,572070,Garrett Richards,488771,Jason Castro,R,Austin Hedges,595978,0,1,1,True,2020-07-20,Caught,3B,2020,2021,28.4,2021,28.4,2021,28.4
63,63,63,1B,,Caught Stealing 2B,605113,Nick Ahmed,489334,Craig Stammen,608348,Carson Kelly,R,Austin Hedges,595978,0,0,7,False,2019-09-04,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4
64,64,64,1B,2B,Stolen Base 2B,571771,Enrique Hernández,489446,Kirby Yates,431145,Russell Martin,R,Austin Hedges,595978,4,5,10,True,2019-08-28,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
65,65,65,1B,,Caught Stealing 2B,643217,Andrew Benintendi,659275,Dinelson Lamet,543877,Christian Vázquez,R,Austin Hedges,595978,0,0,2,True,2019-08-24,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4
66,66,66,1B,2B,Stolen Base 2B,642165,Josh VanMeter,615698,Cal Quantrill,520471,Freddy Galvis,R,Austin Hedges,595978,0,0,1,False,2019-08-20,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
67,67,67,1B,2B,Stolen Base 2B,669222,Nick Senzel,615698,Cal Quantrill,657434,Brian O'Grady,R,Austin Hedges,595978,1,0,5,False,2019-08-20,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
68,68,68,2B,3B,Stolen Base 3B,669222,Nick Senzel,615698,Cal Quantrill,543243,Sonny Gray,R,Austin Hedges,595978,1,0,5,False,2019-08-20,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4
69,69,69,1B,2B,Stolen Base 2B,641857,Ryan McMahon,662253,Andrés Muñoz,602074,Yonathan Daza,R,Austin Hedges,595978,5,5,8,True,2019-08-10,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
70,70,70,1B,2B,Stolen Base 2B,605480,Mallex Smith,664192,Joey Lucchesi,641487,J.P. Crawford,L,Austin Hedges,595978,0,1,1,False,2019-08-07,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
71,71,71,1B,2B,Stolen Base 2B,542979,Keon Broxton,659275,Dinelson Lamet,605480,Mallex Smith,R,Austin Hedges,595978,0,0,3,False,2019-08-06,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
72,72,72,1B,2B,Stolen Base 2B,570267,Domingo Santana,670970,Adrian Morejon,621005,Tim Lopes,L,Austin Hedges,595978,4,8,8,False,2019-08-06,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
73,73,73,1B,2B,Stolen Base 2B,592122,Tyler Austin,664192,Joey Lucchesi,456781,Donovan Solano,L,Austin Hedges,595978,0,1,3,True,2019-07-26,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
74,74,74,1B,2B,Stolen Base 2B,592680,Yadiel Rivera,622259,Trey Wingenter,605119,Brian Anderson,R,Austin Hedges,595978,4,3,9,False,2019-07-18,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
