,Outcome,Inplay,Event,Pitch,Description,Start_speed,End_speed,breakAngle,breakLength,breakY,breakVertical,breakHorizontal,breakVerticalInduced,spinRate,location,batter_name,batter_side,batter_split,pitcher_id,pitcher_name,pitcher_hand,pitcher_split,Date
48,C,False,,Sinker,Called Strike,90.5,83.7,26.4,7.2,24.0,,,,1733,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
49,F,False,,Sinker,Foul,90.4,83.1,27.6,8.4,24.0,,,,1976,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
50,T,False,,Cutter,Foul Tip,89.5,83.1,3.6,6.0,24.0,,,,873,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
51,B,False,,Cutter,Ball,91.0,84.4,4.8,4.8,24.0,,,,1322,,Brett Myers,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
52,C,False,,Cutter,Called Strike,90.3,83.5,7.2,6.0,24.0,,,,1128,,Brett Myers,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
53,S,False,,Cutter,Swinging Strike,90.3,84.0,14.4,4.8,24.0,,,,1685,,Brett Myers,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
54,D,True,,Curveball,"In play, no out",78.2,73.7,3.6,9.6,24.0,,,,185,8,Brett Myers,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
55,C,False,,Cutter,Called Strike,90.5,83.9,7.2,6.0,24.0,,,,891,,Michael Bourn,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
56,X,True,,Sinker,"In play, out(s)",91.5,84.2,26.4,6.0,24.0,,,,1785,3,Michael Bourn,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
57,C,False,,Slider,Called Strike,80.0,72.9,6.0,9.6,24.0,,,,308,,Carlos Ruiz,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
58,B,False,,Four-Seam Fastball,Ball,86.8,79.9,8.4,6.0,24.0,,,,1103,,Carlos Ruiz,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
59,X,True,,Slider,"In play, out(s)",81.8,75.3,3.6,9.6,24.0,,,,408,5,Carlos Ruiz,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
60,B,False,,Four-Seam Fastball,Ball,88.9,82.0,13.2,4.8,24.0,,,,1587,,Wilson Valdez,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
61,D,True,,Slider,"In play, no out",80.4,75.3,8.4,9.6,24.0,,,,528,7,Wilson Valdez,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
62,B,False,,Four-Seam Fastball,Ball,88.5,81.3,10.8,3.6,24.0,,,,2224,,Roy Halladay,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
63,X,True,,Four-Seam Fastball,"In play, out(s)",89.0,82.0,27.6,3.6,24.0,,,,2403,6,Roy Halladay,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
64,B,False,,Curveball,Ball,75.5,69.2,8.4,14.4,24.0,,,,1580,,Shane Victorino,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
65,B,False,,Curveball,Ball,72.3,65.8,8.4,18.0,24.0,,,,2448,,Shane Victorino,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
66,C,False,,Sinker,Called Strike,87.0,79.6,27.6,6.0,24.0,,,,2078,,Shane Victorino,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
67,B,False,,Four-Seam Fastball,Ball,86.8,80.2,18.0,4.8,24.0,,,,1913,,Shane Victorino,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
68,X,True,,Sinker,"In play, out(s)",85.9,79.7,24.0,6.0,24.0,,,,1762,8,Shane Victorino,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
69,S,False,,Cutter,Swinging Strike,89.0,82.7,18.0,4.8,24.0,,,,1699,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
70,B,False,,Sinker,Ball,90.7,83.4,34.8,8.4,24.0,,,,2369,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
71,B,False,,Curveball,Ball,77.5,71.9,0.0,9.6,24.0,,,,288,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
72,F,False,,Cutter,Foul,90.4,83.3,6.0,4.8,24.0,,,,1237,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
73,F,False,,Cutter,Foul,90.6,83.6,9.6,6.0,24.0,,,,1072,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
74,B,False,,Cutter,Ball,88.1,82.5,3.6,6.0,24.0,,,,612,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
75,D,True,,Sinker,"In play, no out",90.9,84.1,28.8,7.2,24.0,,,,1919,1,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
76,X,True,,Sinker,"In play, out(s)",91.1,84.1,36.0,8.4,24.0,,,,2472,6,Hunter Pence,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
77,F,False,,Cutter,Foul,89.5,81.9,9.6,6.0,24.0,,,,1069,,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
78,F,False,,Sinker,Foul,91.4,83.7,25.2,7.2,24.0,,,,1642,,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
79,X,True,,Cutter,"In play, out(s)",90.6,84.2,8.4,4.8,24.0,,,,1202,8,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
80,B,False,,Curveball,Ball,75.8,70.9,12.0,13.2,24.0,,,,1377,,Bill Hall,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
81,S,False,,Cutter,Swinging Strike,90.0,83.7,13.2,4.8,24.0,,,,1329,,Bill Hall,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
82,B,False,,Cutter,Ball,89.6,82.9,8.4,6.0,24.0,,,,1139,,Bill Hall,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
83,X,True,,Curveball,"In play, out(s)",78.1,72.8,8.4,9.6,24.0,,,,557,7,Bill Hall,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
84,B,False,,Four-Seam Fastball,Ball,86.9,80.1,7.2,4.8,24.0,,,,1529,,Placido Polanco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
85,X,True,,Slider,"In play, out(s)",80.5,74.9,7.2,9.6,24.0,,,,485,9,Placido Polanco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
86,C,False,,Sinker,Called Strike,86.5,80.4,21.6,6.0,24.0,,,,1601,,Jimmy Rollins,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
87,C,False,,Curveball,Called Strike,73.2,67.8,10.8,15.6,24.0,,,,2165,,Jimmy Rollins,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
88,B,False,,Curveball,Ball,76.5,70.5,8.4,14.4,24.0,,,,1616,,Jimmy Rollins,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
89,B,False,,Sinker,Ball,88.7,81.8,26.4,6.0,24.0,,,,1939,,Jimmy Rollins,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
