,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
24,24,24,24,1B,2B,Stolen Base 2B,680911,Owen Miller,642048,Tayler Saucedo,592885,Christian Yelich,L,Tom Murphy,608596,2,5,9,True,2023-04-19,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
25,25,25,25,1B,2B,Stolen Base 2B,664023,Ian Happ,622491,Luis Castillo,641355,Cody Bellinger,R,Tom Murphy,608596,1,1,4,False,2023-04-10,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
26,26,26,26,1B,2B,Stolen Base 2B,663538,Nico Hoerner,622491,Luis Castillo,621020,Dansby Swanson,R,Tom Murphy,608596,2,1,5,False,2023-04-10,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
27,27,27,27,2B,3B,Stolen Base 3B,663611,Nick Madrigal,666374,Matt Brash,571466,Tucker Barnhart,R,Tom Murphy,608596,2,2,10,False,2023-04-10,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
28,28,28,28,1B,2B,Stolen Base 2B,664702,Myles Straw,670036,Matt Festa,680757,Steven Kwan,R,Tom Murphy,608596,1,3,7,False,2023-04-08,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
29,29,29,29,1B,2B,Stolen Base 2B,642708,Amed Rosario,642100,Gabe Speier,608070,José Ramírez,L,Tom Murphy,608596,2,3,7,False,2023-04-08,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
30,30,30,30,1B,2B,Stolen Base 2B,608070,José Ramírez,669302,Logan Gilbert,605137,Josh Bell,R,Tom Murphy,608596,0,0,1,True,2023-04-01,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
31,31,31,31,1B,2B,Stolen Base 2B,676059,Jordan Westburg,669923,George Kirby,683002,Gunnar Henderson,R,Tom Murphy,608596,0,0,9,True,2023-08-12,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
32,32,32,32,2B,3B,Stolen Base 3B,656775,Cedric Mullins,662253,Andrés Muñoz,623993,Anthony Santander,R,Tom Murphy,608596,0,0,10,True,2023-08-12,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
33,33,33,33,1B,2B,Stolen Base 2B,656811,Ryan O'Hearn,662253,Andrés Muñoz,624428,Adam Frazier,R,Tom Murphy,608596,0,1,10,True,2023-08-12,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
34,34,34,34,1B,2B,Stolen Base 2B,666160,Mickey Moniak,669923,George Kirby,545341,Randal Grichuk,R,Tom Murphy,608596,1,2,5,False,2023-08-05,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
35,35,35,35,1B,2B,Stolen Base 2B,644374,Yu Chang,669302,Logan Gilbert,657077,Alex Verdugo,R,Tom Murphy,608596,0,2,5,True,2023-08-02,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
36,36,36,36,1B,2B,Stolen Base 2B,680776,Jarren Duran,669923,George Kirby,457759,Justin Turner,R,Tom Murphy,608596,0,1,1,True,2023-07-31,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
37,37,37,37,1B,2B,Stolen Base 2B,680776,Jarren Duran,669923,George Kirby,807799,Masataka Yoshida,R,Tom Murphy,608596,1,1,5,True,2023-07-31,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
38,38,38,38,1B,2B,Stolen Base 2B,672695,Geraldo Perdomo,623437,Justin Topa,606466,Ketel Marte,R,Tom Murphy,608596,3,3,7,False,2023-07-29,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
39,39,39,39,2B,3B,Stolen Base 3B,682998,Corbin Carroll,662253,Andrés Muñoz,572233,Christian Walker,R,Tom Murphy,608596,3,3,8,False,2023-07-29,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
40,40,40,40,1B,2B,Stolen Base 2B,662139,Daulton Varsho,642100,Gabe Speier,643376,Danny Jansen,L,Tom Murphy,608596,0,1,7,True,2023-07-21,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
41,41,41,41,1B,2B,Stolen Base 2B,650489,Willi Castro,662253,Andrés Muñoz,456781,Donovan Solano,R,Tom Murphy,608596,3,4,8,True,2023-07-19,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
42,42,42,42,1B,2B,Stolen Base 2B,595879,Javier Báez,686654,Ty Adcock,665155,Nick Maton,R,Tom Murphy,608596,2,5,7,True,2023-07-14,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
43,43,43,43,1B,2B,Stolen Base 2B,656716,Zach McKinstry,642048,Tayler Saucedo,682985,Riley Greene,L,Tom Murphy,608596,2,5,8,True,2023-07-14,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
44,44,44,44,1B,2B,Stolen Base 2B,663656,Kyle Tucker,693433,Bryan Woo,608324,Alex Bregman,R,Tom Murphy,608596,2,2,6,False,2023-07-08,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
45,45,45,45,1B,2B,Stolen Base 2B,600869,Jeimer Candelario,669302,Logan Gilbert,660688,Keibert Ruiz,R,Tom Murphy,608596,0,3,3,True,2023-06-28,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
46,46,46,46,1B,2B,Stolen Base 2B,543305,Aaron Hicks,669302,Logan Gilbert,624428,Adam Frazier,R,Tom Murphy,608596,0,1,2,False,2023-06-23,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
47,47,47,47,2B,3B,Stolen Base 3B,643217,Andrew Benintendi,669302,Logan Gilbert,641313,Tim Anderson,R,Tom Murphy,608596,2,1,3,True,2023-06-17,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
48,48,48,48,1B,2B,Stolen Base 2B,669261,Jack Suwinski,623149,Paul Sewald,663647,Ke'Bryan Hayes,R,Tom Murphy,608596,3,3,8,True,2023-05-28,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
49,49,49,49,1B,2B,Stolen Base 2B,668804,Bryan Reynolds,642048,Tayler Saucedo,669261,Jack Suwinski,L,Tom Murphy,608596,3,3,10,True,2023-05-28,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
50,50,50,50,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,594835,Marco Gonzales,657656,Ramón Laureano,L,Tom Murphy,608596,0,1,1,True,2023-05-23,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
51,51,51,51,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,669302,Logan Gilbert,667670,Brent Rooker,R,Tom Murphy,608596,0,0,4,False,2023-05-03,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
52,52,52,52,2B,3B,Stolen Base 3B,665923,Esteury Ruiz,669302,Logan Gilbert,643393,Tony Kemp,R,Tom Murphy,608596,2,0,6,False,2023-05-03,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
53,53,53,53,1B,2B,Stolen Base 2B,607054,Jace Peterson,682171,Penn Murfee,542583,Jesús Aguilar,R,Tom Murphy,608596,2,1,7,False,2023-05-03,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
54,54,54,54,1B,,Caught Stealing 2B,681082,Bryson Stott,669923,George Kirby,607208,Trea Turner,R,Tom Murphy,608596,1,0,8,False,2023-04-27,Caught,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
55,55,55,55,1B,2B,Stolen Base 2B,680911,Owen Miller,642048,Tayler Saucedo,592885,Christian Yelich,L,Tom Murphy,608596,2,5,9,True,2023-04-19,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
56,56,56,56,1B,2B,Stolen Base 2B,664023,Ian Happ,622491,Luis Castillo,641355,Cody Bellinger,R,Tom Murphy,608596,1,1,4,False,2023-04-10,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
57,57,57,57,1B,2B,Stolen Base 2B,663538,Nico Hoerner,622491,Luis Castillo,621020,Dansby Swanson,R,Tom Murphy,608596,2,1,5,False,2023-04-10,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
58,58,58,58,2B,3B,Stolen Base 3B,663611,Nick Madrigal,666374,Matt Brash,571466,Tucker Barnhart,R,Tom Murphy,608596,2,2,10,False,2023-04-10,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
59,59,59,59,1B,2B,Stolen Base 2B,664702,Myles Straw,670036,Matt Festa,680757,Steven Kwan,R,Tom Murphy,608596,1,3,7,False,2023-04-08,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
60,60,60,60,1B,2B,Stolen Base 2B,642708,Amed Rosario,642100,Gabe Speier,608070,José Ramírez,L,Tom Murphy,608596,2,3,7,False,2023-04-08,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
61,61,61,61,1B,2B,Stolen Base 2B,608070,José Ramírez,669302,Logan Gilbert,605137,Josh Bell,R,Tom Murphy,608596,0,0,1,True,2023-04-01,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
62,62,62,62,1B,,Caught Stealing 2B,650490,Yandy Díaz,670090,Wyatt Mills,677551,Wander Franco,R,Tom Murphy,608596,4,5,8,True,2022-05-06,Caught,2B,2022,2023,29.4,2023,82.6,0.72,2023,82.6,0.72,2023, 82.6, 0.72
63,63,63,63,1B,2B,Stolen Base 2B,665161,Jeremy Peña,623167,Chris Flexen,455117,Martín Maldonado,R,Tom Murphy,608596,0,0,3,False,2022-05-03,Stolen,2B,2022,2023,29.4,2023,82.6,0.72,2023,82.6,0.72,2023, 82.6, 0.72
64,64,64,64,1B,2B,Stolen Base 2B,677951,Bobby Witt Jr.,670036,Matt Festa,656811,Ryan O'Hearn,R,Tom Murphy,608596,5,4,5,True,2022-04-23,Stolen,2B,2022,2023,29.4,2023,82.6,0.72,2023,82.6,0.72,2023, 82.6, 0.72
65,65,65,65,1B,2B,Stolen Base 2B,666969,Adolis García,592662,Robbie Ray,663993,Nathaniel Lowe,L,Tom Murphy,608596,0,0,1,True,2022-04-19,Stolen,2B,2022,2023,29.4,2023,82.6,0.72,2023,82.6,0.72,2023, 82.6, 0.72
66,66,66,66,2B,3B,Stolen Base 3B,642201,Eli White,592662,Robbie Ray,543760,Marcus Semien,L,Tom Murphy,608596,4,1,3,True,2022-04-19,Stolen,3B,2022,2023,29.4,2023,82.6,0.72,2023,82.6,0.72,2023, 82.6, 0.72
67,67,67,67,1B,2B,Stolen Base 2B,621439,Byron Buxton,489265,Sergio Romo,621043,Carlos Correa,R,Tom Murphy,608596,4,0,6,False,2022-04-11,Stolen,2B,2022,2023,29.4,2023,82.6,0.72,2023,82.6,0.72,2023, 82.6, 0.72
68,68,68,68,1B,2B,Stolen Base 2B,607054,Jace Peterson,592662,Robbie Ray,621438,Tyrone Taylor,L,Tom Murphy,608596,0,2,2,True,2022-04-02,Stolen,2B,2022,2023,29.4,2023,82.6,0.72,2023,82.6,0.72,2023, 82.6, 0.72
69,69,69,69,1B,2B,Stolen Base 2B,680589,Felix Valerio,681168,Luis Curvelo,676759,Korry Howell,R,Tom Murphy,608596,1,3,6,True,2022-04-02,Stolen,2B,2022,2023,29.4,2023,82.6,0.72,2023,82.6,0.72,2023, 82.6, 0.72
